ID	ENA-RUN	nrow	Sequencing Panel	Sample ID (Illumina)	Sample ID (Collaborator)	Sample ID (SGDP)	Genetic sex assignment	Corrected sex assignmnet (KMT)	Population ID	Region	Country	Latitude	Longitude	Coverage (mean)	mtDNA haplogroup	Y haplogroup
ERS1042238	ERR1025612,ERR1419150	29	C	LP6005441-DNA_G02	HGDP00457	S_Biaka-1	XY	XY	Biaka	Africa	Central African Republic	4	17	44.08	L0a2a1	B2a1a
ERS1042239	ERR1025613,ERR1419161	30	C	LP6005441-DNA_H02	HGDP00461	S_Biaka-2	XY	XY	Biaka	Africa	Central African Republic	4	17	43.59	L1c4b	B2b1a1b
ERS1358136	ERR1395606	31	C	LP6005443-DNA_H08	DNK05	S_Dinka-1	XY	XY	Dinka	Africa	Sudan	8.8	27.4	40.04	L2a2a1	E2a
ERS1255078	ERR1347694	32	C	LP6005443-DNA_B09	DNK11	S_Dinka-2	XY	XY	Dinka	Africa	Sudan	8.8	27.4	36.6	L4b2a2a	A1b1b2b1
ERS1042247	ERR1025621,ERR1419175	33	C	LP6005442-DNA_A10	HG03100	S_Esan-1	XY	XY	Esan	Africa	Nigeria	6.5	6	35.59	L3d1d	E1b1a1a1g1
ERS1042248	ERR1025622,ERR1419183	34	C	LP6005442-DNA_B10	HG02943	S_Esan-2	XX	XX	Esan	Africa	Nigeria	6.5	6	41.38	L3e3b	..
ERS1255054	ERR1347670	35	C	LP6005442-DNA_G10	HG02464	S_Gambian-1	XY	XY	Gambian	Africa	Gambia	13.4	16.7	40.34	L3e4	E1b1a1a1f
ERS1255061	ERR1347677	36	C	LP6005442-DNA_H10	HG02574	S_Gambian-2	XX	XX	Gambian	Africa	Gambia	13.4	16.7	38.92	L3d2	..
NA	NA	37	C	LP6005519-DNA_A12	NGIB034	S_Igbo-1	XY	XY	Igbo	Africa	Nigeria	6	7	46.87	L2a1e1	E1b1a1a1f1a1
NA	NA	38	C	LP6005519-DNA_B12	NGIB042	S_Igbo-2	XX	XX	Igbo	Africa	Nigeria	6	7	33.94	L3d1a:0	..
ERS1255120	ERR1347737	39	C	LP6005443-DNA_G08	HGDP00991	S_Ju_hoan_North-1	XY	XY	Ju_hoan_North	Africa	Namibia	-18.9	21.5	46.49	L0d1c	B2b1b
ERS1042176	ERR1019075,ERR1419108	40	C	LP6005441-DNA_B11	HGDP00987	S_Ju_hoan_North-2	XY	XY	Ju_hoan_North	Africa	Namibia	-18.9	21.5	34.22	L0d1b	A1b1a1a2b
ERS1042177	ERR1019076,ERR1419096	41	C	LP6005441-DNA_A11	HGDP01032	S_Ju_hoan_North-3	XY	XY	Ju_hoan_North	Africa	Namibia	-18.9	21.5	37.24	L0d1b	B2b1b
ERS1358119	ERR1395588	42	C	LP6005677-DNA_D03	SA0342	S_Khomani_San-1	XX	XX	Khomani_San	Africa	SouthAfrica	-27	20.8	47.38	L0d2a1	..
ERS1358103	ERR1395572	43	C	LP6005592-DNA_C05	SA0722	S_Khomani_San-2	XX	XX	Khomani_San	Africa	SouthAfrica	-27	20.8	51.72	L0d2a1	..
NA	NA	44	C	LP6005519-DNA_A09	COKN016	S_Kongo-2	XX	XX	Kongo	Africa	Congo	2.5	11.8	47.46	L3b1a1	..
NA	NA	45	C	LP6005677-DNA_C04	CALM031	S_Lemande-1	XX	XX	Lemande	Africa	Cameroon	4.5	11.1	39.94	L1b1a	..
NA	NA	46	C	LP6005677-DNA_D04	CALM016	S_Lemande-2	XY	XY	Lemande	Africa	Cameroon	4.5	11.1	40.97	L0a1	E1b1a1a1f1a1d
ERS1255046	ERR1347662	47	C	LP6005442-DNA_F11	NA19023	S_Luhya-1	XX	XX	Luhya	Africa	Kenya	1.3	36.8	38.91	L2a1f	..
ERS1042265	ERR1025639,ERR1347655,ERR1625858	48	C	LP6005442-DNA_E11	NA19044	S_Luhya-2	XY	XY	Luhya	Africa	Kenya	1.3	36.8	36.34	L3b1a1a	E1b1a1a1f1a1d
ERS1358122	ERR1395591	49	C	LP6005677-DNA_G01	Ayodo_430C	S_Luo-1	XY	XY	Luo	Africa	Kenya	-0.1	34.3	38.27	L1b1a3	E1b1b1a1a2
ERS1255044	ERR1347660	50	C	LP6005442-DNA_F09	Ayodo_502C	S_Luo-2	XX	XX	Luo	Africa	Kenya	-0.1	34.3	37.65	L3e1b	..
ERS1042266	ERR1025640,ERR1419136	51	C	LP6005441-DNA_E07	HGDP01199	S_Mandenka-1	XY	XY	Mandenka	Africa	Senegal	12	-12	34.59	L2c3a	E1b1a1a1g1
ERS1042267	ERR1025641,ERR1419145	52	C	LP6005441-DNA_F07	HGDP00915	S_Mandenka-2	XX	XX	Mandenka	Africa	Senegal	12	-12	39.02	L3b1a	..
ERS1255109	ERR1347726	53	C	LP6005443-DNA_F06	NA21490	S_Masai-1	XY	XY	Masai	Africa	Kenya	-1.5	35.2	47.62	L3h1a1	E1b1b1b2b
ERS1255100	ERR1347716	54	C	LP6005443-DNA_E06	NA21581	S_Masai-2	XY	XY	Masai	Africa	Kenya	-1.5	35.2	38.84	L0a1b:0	E2a
ERS1358102	ERR1395571	55	C	LP6005592-DNA_C03	HGDP00474	S_Mbuti-1	XY	XY	Mbuti	Africa	Congo	1	29	41.77	L2a2a1	E1b1a1a1g1
ERS1042178	ERR1019077,ERR1419105	56	C	LP6005441-DNA_B08	HGDP00476	S_Mbuti-2	XX	XX	Mbuti	Africa	Congo	1	29	38.3	L0a2b1	..
ERS1042179	ERR1019078,ERR1419093	57	C	LP6005441-DNA_A08	HGDP00449	S_Mbuti-3	XY	XY	Mbuti	Africa	Congo	1	29	38.78	L0a2b	B2b1
ERS1255055	ERR1347671	58	C	LP6005442-DNA_G11	HG03078	S_Mende-1	XY	XY	Mende	Africa	SierraLeone	8.5	-13.2	40.37	L2a1c	E1b1a1a1f
ERS1255062	ERR1347678	59	C	LP6005442-DNA_H11	HG03085	S_Mende-2	XX	XX	Mende	Africa	SierraLeone	8.5	-13.2	37.44	L2a1l	..
ERS1042227	ERR1025601,ERR1419156	60	C	LP6005441-DNA_G08	HGDP01253	S_Mozabite-1	XY	XY	Mozabite	Africa	Algeria	32	3	37.87	H1n:0	E1b1b1b1a2
ERS1042228	ERR1025602,ERR1419166	61	C	LP6005441-DNA_H08	HGDP01274	S_Mozabite-2	XX	XX	Mozabite	Africa	Algeria	32	3	40.12	U6a1a1	..
ERS1358112	ERR1395581	62	C	LP6005619-DNA_B01	SAH31	S_Saharawi-1	XY	XY	Saharawi	Africa	Western Sahara (Morocco)	27.3	-8.9	47.08	U6a5a	E1b1b1b1a2
ERS1358113	ERR1395582	63	C	LP6005619-DNA_C01	SAH41	S_Saharawi-2	XY	XY	Saharawi	Africa	Western Sahara (Morocco)	27.3	-8.9	50.59	L3b1a	E1b1a1a1
ERS1042226	ERR1025600,ERR1419194	64	C	LP6005442-DNA_D09	Ayodo_81S	S_Somali-1	XX	XX	Somali	Africa	Kenya	5.6	48.3	41.91	M1a1	..
ERS1042283	ERR1025657,ERR1419179	65	C	LP6005442-DNA_B02	HGDP00928	S_Yoruba-1	XX	XX	Yoruba	Africa	Nigeria	7.4	3.9	35.98	L2a1f	..
ERS1042284	ERR1025658,ERR1419171	66	C	LP6005442-DNA_A02	HGDP00932	S_Yoruba-2	XY	XY	Yoruba	Africa	Nigeria	7.4	3.9	34.21	L3d1'2'3'4'5	E1b1a1a1f1b1
ERS1358078	ERR1395547	67	C	LP6005519-DNA_D01	TGBS21	S_Chane-1	XY	XY	Chane	America	Argentina	-25	-60	58.12	B2i	Q1a2a1a1
NA	NA	68	C	LP6005442-DNA_H06	NAD93	S_Chipewyan-1	XX	XX	Chipewyan	America	Canada	59.6	-107.3	40.33	A2:0	..
NA	NA	69	C	LP6005443-DNA_F05	NAD59	S_Chipewyan-2	XY	XY	Chipewyan	America	Canada	59.6	-107.3	42.94	A2:0	C3b
NA	NA	70	C	LP6005442-DNA_A07	Cree5	S_Cree-1	XY	XY	Cree	America	Canada	50.3	-102.5	36.69	A2f1a	R1b1a2a1a1c2b2a
NA	NA	71	C	LP6005442-DNA_B07	Cree6	S_Cree-2	XX	XX	Cree	America	Canada	50.3	-102.5	40.42	A2b1	..
ERS1042261	ERR1025635,ERR1419154	72	C	LP6005441-DNA_G06	HGDP01012	S_Karitiana-1	XY	XY	Karitiana	America	Brazil	-10	-63	44.93	D1e	Q1a2a1a1
ERS1042262	ERR1025636,ERR1419164	73	C	LP6005441-DNA_H06	HGDP01018	S_Karitiana-2	XX	XX	Karitiana	America	Brazil	-10	-63	39.49	D1e	..
ERS1042268	ERR1025642,ERR1419155	74	C	LP6005441-DNA_G07	HGDP00855	S_Mayan-1	XX	XX	Mayan	America	Mexico	19	-91	37.77	A2:0	..
ERS1042269	ERR1025643,ERR1419165	75	C	LP6005441-DNA_H07	HGDP00857	S_Mayan-2	XX	XX	Mayan	America	Mexico	19	-91	45.13	A2e	..
ERS1255105	ERR1347721	76	C	LP6005443-DNA_E11	mixe0002	S_Mixe-2	XX	XX	Mixe	America	Mexico	16.95	96.58	46.94	A2m	..
ERS1255113	ERR1347730	77	C	LP6005443-DNA_F11	mixe0042	S_Mixe-3	XX	XX	Mixe	America	Mexico	16.95	96.58	46.66	B2c1b	..
ERS1255121	ERR1347738	78	C	LP6005443-DNA_G11	mixa0099	S_Mixtec-1	XY	XY	Mixtec	America	Mexico	17	-97	44.48	A2u	Q1a2a1a1
ERS1358137	ERR1395607	79	C	LP6005443-DNA_H11	mixa0105	S_Mixtec-2	XX	XX	Mixtec	America	Mexico	17	-97	46.91	B2	..
NA	NA	80	C	LP6005519-DNA_A03	Mex02	S_Nahua-1	XY	XY	Nahua	America	Mexico	..	..	56.19	B2	Q1a2a1a1
NA	NA	81	C	LP6005519-DNA_B03	Mex20	S_Nahua-2	XY	XY	Nahua	America	Mexico	?	?	37.05	B2	Q1a2a1b
ERS1042167	ERR1019066,ERR1419090	82	C	LP6005441-DNA_A04	HGDP00702	S_Piapoco-1	XX	XX	Piapoco	America	Colombia	3	-68	40.88	A2:0	..
ERS1042168	ERR1019067,ERR1419101	83	C	LP6005441-DNA_B04	HGDP00706	S_Piapoco-2	XX	XX	Piapoco	America	Colombia	3	-68	41.01	C1d1	..
ERS1042229	ERR1025603,ERR1419139	84	C	LP6005441-DNA_E10	HGDP01047	S_Pima-1	XY	XY	Pima	America	Mexico	29	-108	43.03	C1b11	Q1a2a1a1
ERS1042230	ERR1025604,ERR1419148	85	C	LP6005441-DNA_F10	HGDP01044	S_Pima-2	XX	XX	Pima	America	Mexico	29	-108	37.84	C1b11	..
ERS1358121	ERR1395590	86	C	LP6005677-DNA_F01	NA11201	S_Quechua-1	XX	XX	Quechua	America	Peru	-13.5	-72	42.04	C1b2	..
ERS1358120	ERR1395589	87	C	LP6005677-DNA_E01	NA11200	S_Quechua-2	XY	XY	Quechua	America	Peru	-13.5	-72	44.82	B2	Q1a2a1a1
ERS1358089	ERR1395558	88	C	LP6005519-DNA_G02	Peru60	S_Quechua-3	XX	XX	Quechua	America	Peru	-13.5	-72	59.78	B2b	..
ERS1042171	ERR1019070,ERR1419097	89	C	LP6005441-DNA_A12	HGDP00846	S_Surui-1	XX	XX	Surui	America	Brazil	-11	-62	41.5	A2	..
ERS1042172	ERR1019071,ERR1419109	90	C	LP6005441-DNA_B12	HGDP00852	S_Surui-2	XX	XX	Surui	America	Brazil	-11	-62	35.63	D1a1	..
ERS1255070	ERR1347686	91	C	LP6005443-DNA_A12	zapo0098	S_Zapotec-1	XY	XY	Zapotec	America	Mexico	16.5	-97.2	45.75	A2v	Q1a2a1a1
ERS1358152	ERR1395622	92	C	LP6005677-DNA_D01	zapo0099	S_Zapotec-2	XY	XY	Zapotec	America	Mexico	16.5	-97.2	39.23	C1b7a	Q1a2a1a1
ERS1255066	ERR1347682	93	C	LP6005443-DNA_A03	Ale22	S_Aleut-1	XY	XY	Aleut	CentralAsiaSiberia	Russia	55.18	166	46.46	D2a1a	J2a1
ERS1255123	ERR1347740	94	C	LP6005443-DNA_H02	Ale20	S_Aleut-2	XX	XX	Aleut	CentralAsiaSiberia	Russia	55.18	166	38.76	D2a1a	..
ERS1042136	ERR1019034,ERR1419200	95	C	LP6005442-DNA_F02	altai363p	S_Altaian-1	XY	XY	Altaian	CentralAsiaSiberia	Russia	51.9	86	39.12	D4b1a2a2	R1a1a1b2
ERS1255082	ERR1347698	96	C	LP6005443-DNA_C03	Sir19	S_Chukchi-1	XY	XY	Chukchi	CentralAsiaSiberia	Russia	69	169	47.09	A2b1	R1a1a1b1a2b3a
ERS1255090	ERR1347706	97	C	LP6005443-DNA_D03	Esk29	S_Eskimo_Chaplin-1	XY	XY	Eskimo_Chaplin	CentralAsiaSiberia	Russia	64.48	172.86	45.64	A2b1	N1c1a1a
ERS1255107	ERR1347724	98	C	LP6005443-DNA_F03	Nesk_22	S_Eskimo_Naukan-1	XX	XX	Eskimo_Naukan	CentralAsiaSiberia	Russia	66.02	169.71	49.09	A2a	..
ERS1255116	ERR1347733	99	C	LP6005443-DNA_G03	Nesk_25	S_Eskimo_Naukan-2	XX	XX	Eskimo_Naukan	CentralAsiaSiberia	Russia	66.02	169.71	46.31	A2b1	..
ERS1255073	ERR1347689	100	C	LP6005443-DNA_B03	Sir26	S_Eskimo_Sireniki-1	XY	XY	Eskimo_Sireniki	CentralAsiaSiberia	Russia	64.4	173.9	43.61	A2b1	N1c1a1a
ERS1255124	ERR1347741	101	C	LP6005443-DNA_H03	Sir40	S_Eskimo_Sireniki-2	XX	XX	Eskimo_Sireniki	CentralAsiaSiberia	Russia	64.4	173.9	49.37	D2a1b	..
ERS1358108	ERR1395577	102	C	LP6005592-DNA_F03	Nlk1	S_Even-1	XX	XX	Even	CentralAsiaSiberia	Russia	57.53	135.88	49.77	C4a2	..
ERS1255083	ERR1347699	103	C	LP6005443-DNA_C04	Nlk18	S_Even-2	XY	XY	Even	CentralAsiaSiberia	Russia	57.53	135.88	40.22	D4j4a	C3c1
ERS1255074	ERR1347690	104	C	LP6005443-DNA_B04	Nlk3	S_Even-3	XX	XX	Even	CentralAsiaSiberia	Russia	57.53	135.88	50.31	D4o2	..
ERS1255091	ERR1347707	105	C	LP6005443-DNA_D04	Kor82	S_Itelman-1	XX	XX	Itelman	CentralAsiaSiberia	Russia	57	157	47.65	G1b	..
ERS1358117	ERR1395586	106	C	LP6005677-DNA_B02	Bishkek28440	S_Kyrgyz-1	XY	XY	Kyrgyz	CentralAsiaSiberia	Kyrgyzystan	42.9	74.6	48.53	G2a:0	R1a1a1b2a1
ERS1358114	ERR1395583	107	C	LP6005677-DNA_A02	Bishkek28439	S_Kyrgyz-2	XX	XX	Kyrgyz	CentralAsiaSiberia	Kyrgyzystan	42.9	74.6	38.86	C4	..
ERS1255108	ERR1347725	108	C	LP6005443-DNA_F04	Mansi79	S_Mansi-1	XY	XY	Mansi	CentralAsiaSiberia	Russia	63.8	61.45	38.86	J1d	N1c2b2
ERS1255117	ERR1347734	109	C	LP6005443-DNA_G04	Mansi41	S_Mansi-2	XX	XX	Mansi	CentralAsiaSiberia	Russia	63.65	62.1	46.22	K2a5	..
ERS1042270	ERR1025644,ERR1419137	110	C	LP6005441-DNA_E08	HGDP01228	S_Mongola-1	XY	XY	Mongola	CentralAsiaSiberia	China	45	111	39.08	D4c1b	O3a2c
ERS1042271	ERR1025645,ERR1419146	111	C	LP6005441-DNA_F08	HGDP01223	S_Mongola-2	XX	XX	Mongola	CentralAsiaSiberia	China	45	111	44.9	M7b3	..
ERS1255099	ERR1347715	112	C	LP6005443-DNA_E05	Ale32	S_Tlingit-1	XY	XY	Tlingit	CentralAsiaSiberia	Russia	53	158.65	44.97	D2a	N1c2b2
ERS1255092	ERR1347708	113	C	LP6005443-DNA_D05	Ale14	S_Tlingit-2	XX	XX	Tlingit	CentralAsiaSiberia	Russia	55.18	166	47.61	D2a	..
ERS1255047	ERR1347663	114	C	LP6005442-DNA_F12	Tuba19	S_Tubalar-1	XX	XX	Tubalar	CentralAsiaSiberia	Russia	51.13333333	87	39.27	C4b3	..
ERS1255041	ERR1347657	115	C	LP6005442-DNA_E12	Tuba9	S_Tubalar-2	XX	XX	Tubalar	CentralAsiaSiberia	Russia	51.13333333	87	41.96	D4b1a2a1	..
ERS1255063	ERR1347679	116	C	LP6005442-DNA_H12	Ul31	S_Ulchi-1	XX	XX	Ulchi	CentralAsiaSiberia	Russia	52.43	140.42	43.3	Y1a	..
ERS1255056	ERR1347672	117	C	LP6005442-DNA_G12	Ul5	S_Ulchi-2	XX	XX	Ulchi	CentralAsiaSiberia	Russia	52.37	140.45	41.02	C5a1	..
ERS1255042	ERR1347658	118	C	LP6005442-DNA_F01	HGDP00956	S_Yakut-1	XX	XX	Yakut	CentralAsiaSiberia	Russia	63	129.5	40.03	G2a:0	..
ERS1255089	ERR1347705	119	C	LP6005443-DNA_D02	HGDP00951	S_Yakut-2	XY	XY	Yakut	CentralAsiaSiberia	Russia	63	129.5	47.53	F2b	N1c1a1
ERS1042236	ERR1025610,ERR1419188	120	C	LP6005442-DNA_C07	NA13607	S_Ami-1	XY	XY	Ami	EastAsia	Taiwan	22.843145	121.185356	36.74	M7c3c	O3a2b1
ERS1255118	ERR1347735	121	C	LP6005443-DNA_G05	NA13616	S_Ami-2	XY	XY	Ami	EastAsia	Taiwan	22.843145	121.185356	46.3	B4a1a	O3a2b1
ERS1042224	ERR1025598,ERR1419198	122	C	LP6005442-DNA_E07	NA13604	S_Atayal-1	XY	XY	Atayal	EastAsia	Taiwan	24.611712	121.296444	37.18	N9a10a	O1a1
ERS1358143	ERR1395613	123	C	LP6005519-DNA_B06	Bu16	S_Burmese-1	XY	XY	Burmese	EastAsia	Myanmar	17	96.7	57.19	F1c1a	O3a1c2
ERS1358140	ERR1395610	124	C	LP6005519-DNA_A06	Bu5	S_Burmese-2	XY	XY	Burmese	EastAsia	Myanmar	17	96.7	49.5	M74b	O3a2c1a
ERS1042243	ERR1025617,ERR1419151	125	C	LP6005441-DNA_G03	HGDP00717	S_Cambodian-1	XY	XY	Cambodian	EastAsia	Cambodia	12	105	42.94	F1f	O2a1
ERS1042244	ERR1025618,ERR1419162	126	C	LP6005441-DNA_H03	HGDP00713	S_Cambodian-2	XX	XX	Cambodian	EastAsia	Cambodia	12	105	38.93	F1a1a1	..
ERS1358104	ERR1395573	127	C	LP6005592-DNA_D03	HGDP01314	S_Dai-1	XX	XX	Dai	EastAsia	China	21	100	49.51	F1g	..
ERS1255071	ERR1347687	128	C	LP6005443-DNA_B01	HGDP01312	S_Dai-2	XY	XY	Dai	EastAsia	China	21	100	39.75	F1a2	O2a1
ERS1042174	ERR1019073,ERR1419123	129	C	LP6005441-DNA_D04	HGDP01315	S_Dai-3	XX	XX	Dai	EastAsia	China	21	100	39.05	M7c3b	..
ERS1042139	ERR1019037,ERR1425294,ERR1625857	130	C	LP6005441-DNA_F04	HGDP01215	S_Daur-2	XX	XX	Daur	EastAsia	China	48.5	124	45.92	Z4	..
ERS1042157	ERR1019055,ERR1419124	131	C	LP6005441-DNA_D05	HGDP00783	S_Han-1	XX	XX	Han	EastAsia	China	32.3	114	68.83	D5a2a1:0	..
ERS1042158	ERR1019056,ERR1419113	132	C	LP6005441-DNA_C05	HGDP00785	S_Han-2	XY	XY	Han	EastAsia	China	32.3	114	42.36	M7b1'2'4'5'6'7'8	O1a1
ERS1042253	ERR1025627,ERR1419153	133	C	LP6005441-DNA_G05	HGDP01240	S_Hezhen-1	XY	XY	Hezhen	EastAsia	China	47.5	133.5	42.73	C4b3a	O2b
ERS1042254	ERR1025628,ERR1419163	134	C	LP6005441-DNA_H05	HGDP01242	S_Hezhen-2	XX	XX	Hezhen	EastAsia	China	47.5	133.5	40.54	C5d1	..
ERS1042140	ERR1019038,ERR1419114,ERR1625861	135	C	LP6005441-DNA_C06	HGDP00749	S_Japanese-1	XY	XY	Japanese	EastAsia	Japan	38	138	83.23	N9b1a	O3a2c1a
ERS1042175	ERR1019074,ERR1419125	136	C	LP6005441-DNA_D06	HGDP00773	S_Japanese-2	XX	XX	Japanese	EastAsia	Japan	38	138	41.99	M7b2	..
ERS1358101	ERR1395570	137	C	LP6005592-DNA_C02	NA18940	S_Japanese-3	XY	XY	Japanese	EastAsia	Japan	38	138	48.34	M7a1a1a	D2a4
ERS1042263	ERR1025637,ERR1419196	138	C	LP6005442-DNA_D11	HG01600	S_Kinh-1	XX	XX	Kinh	EastAsia	Vietnam	21	105.9	38.35	F1f	..
ERS1042264	ERR1025638,ERR1419189	139	C	LP6005442-DNA_C11	HG01846	S_Kinh-2	XY	XY	Kinh	EastAsia	Vietnam	21	105.9	37.2	M7b8	O2a1a
ERS1255093	ERR1347709	140	C	LP6005443-DNA_D06	ND19394	S_Korean-1	XY	XY	Korean	EastAsia	Korea	37.6	127	44.32	F4a1	O3a2c
ERS1255084	ERR1347700	141	C	LP6005443-DNA_C06	NA00726	S_Korean-2	XX	XX	Korean	EastAsia	Korea	37.6	127	53.33	G3a2	..
ERS1042159	ERR1019057,ERR1419104	142	C	LP6005441-DNA_B07	HGDP01323	S_Lahu-1	XX	XX	Lahu	EastAsia	China	22	100	38.44	C7a	..
ERS1255097	ERR1347713	143	C	LP6005443-DNA_E01	HGDP01320	S_Lahu-2	XY	XY	Lahu	EastAsia	China	22	100	58.14	D4j1a1	F2
ERS1042124	ERR1019060,ERR1419116	144	C	LP6005441-DNA_C08	HGDP01191	S_Miao-1	XY	XY	Miao	EastAsia	China	28	109	34.95	D4i	O2a1a
ERS1042162	ERR1019061,ERR1419127	145	C	LP6005441-DNA_D08	HGDP01198	S_Miao-2	XX	XX	Miao	EastAsia	China	28	109	37.11	B4d1	..
ERS1255103	ERR1347719	146	C	LP6005443-DNA_E09	HGDP01338	S_Naxi-1	XY	XY	Naxi	EastAsia	China	26	100	41.35	A11b	O3a2c1a
ERS1042141	ERR1019039,ERR1419094	147	C	LP6005441-DNA_A09	HGDP01344	S_Naxi-2	XY	XX	Naxi	EastAsia	China	26	100	41.19	B4a4	N
ERS1042180	ERR1019079,ERR1419106	148	C	LP6005441-DNA_B09	HGDP01345	S_Naxi-3	XX	XX	Naxi	EastAsia	China	26	100	42.06	M71a1	..
ERS1042272	ERR1025646,ERR1419138	149	C	LP6005441-DNA_E09	HGDP01203	S_Oroqen-1	XY	XY	Oroqen	EastAsia	China	50.4	126.5	38.93	D3	N1c1a
ERS1042273	ERR1025647,ERR1419147	150	C	LP6005441-DNA_F09	HGDP01211	S_Oroqen-2	XX	XX	Oroqen	EastAsia	China	50.4	126.5	40.47	D3	..
