## Ftp pointers pulled out using the TEXT metainfo at ENA for PRJEB9586 (there are two pointers which is admittedly a little confusing, due to multiple people working on the upload - apologies)
## Additional metainfo added, based on meta data for general download webpage: http://reichdata.hms.harvard.edu/pub/datasets/sgdp/. Hopefully this should make things easier. At some point we should clean up the ENA distribution portal to clarify the separate pointers for different data chunks
# 1-n	2-ena_id	3-Illumina_ID	4-reich_id	5-ena_ftp_bam_ptr	6-Sequencing_Panel	7-Gender	8-Population_ID	9-Contributor	10-Region	11-Country	12-Town	13-Latitude	14-Longitude	15-DNA_Source	16-BioSamples Accession	17-Embargo
67	SAMEA3302877	SS6004469	B_Han-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324535/SS6004469.srt.aln.bam	B	M	Han	Howard Cann	EastAsia	China	?	32.26566812	114	Genomic_from_cell_lines	SAMEA3302877	FullyPublic
68	SAMEA3302624	LP6005442-DNA_G02	S_Armenian-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324269/LP6005442-DNA_G02.srt.aln.bam	C	M	Armenian	Mait Metspalu/ Levon Yepiskoposyan / Hovhannes Sahakyan	WestEurasia	Armenia	Yerevan but all 4 ancestorscome from Nagorno Kharabakh	39.815	46.752	Genomic_from_blood	SAMEA3302624	FullyPublic
69	SAMEA3302672	LP6005519-DNA_F03	S_Armenian-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324367/LP6005519-DNA_F03.srt.aln.bam	C	M	Armenian	Mait Metspalu/ Levon Yepiskoposyan / Hovhannes Sahakyan	WestEurasia	Armenia	born in Akhuzyan but all 4 ancestors come from Kars - now Turkey	40.605	43.101	Genomic_from_blood	SAMEA3302672	FullyPublic
70	SAMEA3302901	LP6005519-DNA_C03	S_Tajik-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324355/LP6005519-DNA_C03.srt.aln.bam	C	M	Tajik	Mait Metspalu / Oleg Balanovsky /Elena Balanovska	WestEurasia	Tajikistan	Shughnon District	37.508	71.568	Genomic_from_blood	SAMEA3302901	FullyPublic
71	SAMEA3302691	LP6005519-DNA_D03	S_Tajik-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324360/LP6005519-DNA_D03.srt.aln.bam	C	M	Tajik	Mait Metspalu / Oleg Balanovsky /Elena Balanovska	WestEurasia	Tajikistan	Shughnon District	37.508	71.568	Genomic_from_blood	SAMEA3302691	FullyPublic
72	SAMEA3302831	LP6005443-DNA_F03	S_Eskimo_Naukan-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324327/LP6005443-DNA_F03.srt.aln.bam	C	F	Eskimo_Naukan	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Naukan, Chukchi Peninsula"	66.02	169.71	Genomic_from_blood	SAMEA3302831	FullyPublic
73	SAMEA3302840	LP6005441-DNA_F04	S_Daur-2	ftp.sra.ebi.ac.uk/vol1/ERZ329/ERZ329670/LP6005441-DNA_F04.srt.aln.bam	C	F	Daur	Howard Cann	EastAsia	China	?	48.5	124	Genomic_from_cell_lines	SAMEA3302840	FullyPublic
74	SAMEA3302612	LP6005443-DNA_B10	S_Iranian-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324299/LP6005443-DNA_B10.srt.aln.bam	C	M	Iranian	Mait Metspalu / Ene Metspalu / Richard Villems / JÙri Parik	WestEurasia	Iran	migrants_collected_in_Kuwait	35.586	51.46	Genomic_from_blood	SAMEA3302612	FullyPublic
75	SAMEA3302874	LP6005442-DNA_C04	S_Iranian-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312845/LP6005442-DNA_C04.srt.aln.bam	C	M	Iranian	Mait Metspalu / Ene Metspalu / Richard Villems / JÙri Parik	WestEurasia	Iran	migrants_collected_in_Kuwait	35.586	51.46	Genomic_from_blood	SAMEA3302874	FullyPublic
76	SAMEA3302715	LP6005592-DNA_F03	S_Even-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324391/LP6005592-DNA_F03.srt.aln.bam	C	F	Even	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	CentralAsiaSiberia	Russia	"Djigda, Eastern Siberia"	57.53	135.88	Genomic_from_blood	SAMEA3302715	FullyPublic
77	SAMEA3302720	LP6005443-DNA_B04	S_Even-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324294/LP6005443-DNA_B04.srt.aln.bam	C	F	Even	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	CentralAsiaSiberia	Russia	"Djigda, Eastern Siberia"	57.53	135.88	Genomic_from_blood	SAMEA3302720	FullyPublic
78	SAMEA3302752	LP6005443-DNA_C04	S_Even-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324302/LP6005443-DNA_C04.srt.aln.bam	C	M	Even	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	CentralAsiaSiberia	Russia	"Djigda, Eastern Siberia"	57.53	135.88	Genomic_from_blood	SAMEA3302752	FullyPublic
79	SAMEA3302688	LP6005519-DNA_F06	S_Dusun-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324369/LP6005519-DNA_F06.srt.aln.bam	C	F	Dusun	Toomas Kivisild / M. Syafiq Abdullah	Oceania	Brunei	Tutong District	4.7	114.7	Genomic_from_saliva	SAMEA3302688	FullyPublic
80	SAMEA3302759	LP6005519-DNA_E06	S_Dusun-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324366/LP6005519-DNA_E06.srt.aln.bam	C	F	Dusun	Toomas Kivisild / M. Syafiq Abdullah	Oceania	Brunei	"Lamunin, Tutong District"	4.7	114.7	Genomic_from_saliva	SAMEA3302759	FullyPublic
